espn_id,name,team,position,points,bye,pass_yds,pass_tds,rec,rec_yds,rec_tds,rush_yds,rush_tds
2561300,Saeed Blacknall,MIA,WR,0,5,NA,NA,0,0,0,0,0
2561358,J.J. Jones,NYJ,WR,0,4,NA,NA,0,0,0,0,0
2561359,Darvin Kidsy,WAS,WR,0,10,NA,NA,0,0,0,0,0
2561414,Jordan Veasy,IND,WR,0,6,NA,NA,0,0,0,0,0
2561521,Cameron Batson,TEN,WR,0,11,NA,NA,0,0,0,0,0
2561573,Deontez Alexander,DET,WR,0,5,NA,NA,0,0,0,0,0
2561671,Malik Turner,FA,WR,0,NA,NA,NA,0,0,0,0,0
2562393,Keelan Doss,OAK,WR,0,6,NA,NA,0,0,0,0,0
2562494,Emmanuel Butler,NO,WR,0,9,NA,NA,0,0,0,0,0
2562504,Stanley Morgan,CIN,WR,0,9,NA,NA,0,0,0,0,0
2562562,Ashton Dulin,IND,WR,0,6,NA,NA,0,0,0,0,0
2562583,Jazz Ferguson,SEA,WR,0,11,NA,NA,0,0,0,0,0
2562804,Penny Hart,IND,WR,0,6,NA,NA,0,0,0,0,0
2562812,Anthony Ratliff-Williams,TEN,WR,0,11,NA,NA,0,0,0,0,0
2562839,Jon'Vea Johnson,DAL,WR,0,8,NA,NA,0,0,0,0,0
2562844,Jalen Guyton,DAL,WR,0,8,NA,NA,0,0,0,0,0
2562860,Jason Moore,LAC,WR,0,12,NA,NA,0,0,0,0,0
2562932,Tyron Johnson,HOU,WR,0,10,NA,NA,0,0,0,0,0
2562953,Ishmael Hyman,CLE,WR,0,7,NA,NA,0,0,0,0,0
2563019,A.J. Richardson,ARI,WR,0,12,NA,NA,0,0,0,0,0
2563035,Trinity Benson,DEN,WR,0,10,NA,NA,0,0,0,0,0
2563128,Darrius Shepherd,GB,WR,0,11,NA,NA,0,0,0,0,0
2563340,Marcus Simms,JAC,WR,0,10,NA,NA,0,0,0,0,0
2562838,Marcus Green,ATL,WR,0,9,NA,NA,0,0,0,0,0
2557866,Jehu Chesson,WAS,WR,0,10,NA,NA,0,0,0,-2,0
2562660,Dwayne Haskins,WAS,QB,127,10,2031.054854,9.168834951,NA,NA,NA,40,0
2560858,Josh Rosen,MIA,QB,125,5,1838.118246,8.538807032,NA,NA,NA,94,0
2532888,Case Keenum,WAS,QB,108,10,1580.543202,6.933917957,NA,NA,NA,60,1
2562299,Daniel Jones,NYG,QB,43,11,627.6532692,2.913658434,NA,NA,NA,29,0
2558954,Taysom Hill,NO,QB,32,9,115.2256309,0.304340607,NA,NA,NA,128,2
2562305,Drew Lock,DEN,QB,31,10,512.7167932,2.111271347,NA,NA,NA,14,0
2557922,C.J. Beathard,SF,QB,28,4,422.801085,1.873327306,NA,NA,NA,16,0
2532956,Ryan Tannehill,TEN,QB,22,11,308.4407638,1.624345351,NA,NA,NA,18,0
2543477,Blake Bortles,LAR,QB,17,9,226.5676091,0.891375712,NA,NA,NA,22,0
2562404,Will Grier,CAR,QB,16,7,299.5820731,0.715991461,NA,NA,NA,1,0
2555427,Nate Sudfeld,PHI,QB,16,10,193.0639943,0.880697343,NA,NA,NA,10,0
2495441,Blaine Gabbert,TB,QB,14,7,204.2130748,1.253288364,NA,NA,NA,3,0
2562796,Gardner Minshew,JAC,QB,14,10,209.4602527,1.181504773,NA,NA,NA,5,0
2558979,Nick Mullens,SF,QB,13,4,195.3930943,0.981359167,NA,NA,NA,0,0
2555262,Jeff Driskel,CIN,QB,13,9,174.0003484,0.644,NA,NA,NA,13,0
2555261,Jacoby Brissett,IND,QB,13,6,178.1671869,0.545208729,NA,NA,NA,7,0
2533033,Robert Griffin,BAL,QB,13,8,120.2299288,0.404497154,NA,NA,NA,28,0
2557983,DeShone Kizer,GB,QB,12,11,170.2369734,1.216048387,NA,NA,NA,20,0
497123,Colt McCoy,WAS,QB,11,10,160.3829655,0.740372414,NA,NA,NA,7,0
2552588,Brett Hundley,ARI,QB,10,12,158.291518,0.911333017,NA,NA,NA,9,0
2562651,Ryan Finley,CIN,QB,10,9,145.6394958,1.099159664,NA,NA,NA,10,0
2553457,Trevor Siemian,NYJ,QB,10,4,150.5040085,1.070265655,NA,NA,NA,8,0
2539308,Matt Barkley,BUF,QB,10,6,145.9641366,1.251617647,NA,NA,NA,5,0
2541185,Ryan Griffin,TB,QB,10,7,134.037037,0.90260631,NA,NA,NA,6,0
2558191,Nathan Peterman,OAK,QB,9,6,123.1984869,4.722833563,NA,NA,NA,8,0
2495240,Tyrod Taylor,LAC,QB,9,12,119.6666034,0.477220114,NA,NA,NA,17,0
81284,Chase Daniel,CHI,QB,8,6,113.9560769,0.438183112,NA,NA,NA,0,0
2543465,Teddy Bridgewater,NO,QB,8,9,83.41901328,0.48398482,NA,NA,NA,13,0
2555387,Cody Kessler,PHI,QB,8,10,173.1343182,0.062121212,NA,NA,NA,3,0
2555316,Paxton Lynch,SEA,QB,7,11,82.08381724,0.228270677,NA,NA,NA,5,0
2558167,Joshua Dobbs,PIT,QB,7,7,83.87044534,0.724077501,NA,NA,NA,6,0
81294,Brian Hoyer,NE,QB,6,10,93.14877964,0.364505495,NA,NA,NA,-3,0
252,Chad Henne,KC,QB,6,12,92.39844877,0.096764706,NA,NA,NA,4,0
2559242,Cooper Rush,DAL,QB,6,8,93.60741718,0.197658619,NA,NA,NA,3,0
2543497,AJ McCarron,HOU,QB,6,10,88.20434483,0.26137931,NA,NA,NA,1,0
2495748,Drew Stanton,CLE,QB,6,7,79.96627609,0.423828273,NA,NA,NA,3,0
2506340,Alex Smith,WAS,QB,5,10,78.57895461,0.134938102,NA,NA,NA,5,0
2505982,Matt Schaub,ATL,QB,5,9,57.13264231,0.107689753,NA,NA,NA,1,0
2553656,Taylor Heinicke,CAR,QB,5,7,81.41880651,0.357459313,NA,NA,NA,2,0
264,Josh Johnson,DET,QB,4,5,17.65477273,0.158702652,NA,NA,NA,10,0
2539275,Mike Glennon,OAK,QB,4,6,64.47277514,0.217813093,NA,NA,NA,1,0
